|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
|,|, , , ,|,.,., , , , ,.,.,|, , , ,|,|
|, , , , , , , , , , , , , , , , , , ,|
|, , , , ,|,.,., , , , ,.,.,|, , , , ,|
|, , , , ,|,|,|,|,:,:,|,|,|,|, , , , ,|
|, , , , ,|,.,., , , , ,.,.,|, , , , ,|
|, , , , , , , , , , , , , , , , , , ,|
|, , , , ,|,.,., , , , ,.,.,|, , , , ,|
|, , , , ,|,|,|,|,:,:,|,|,|,|, , , , ,|
|, , , , ,|,.,., , , , ,.,.,|, , , , ,|
|, , , , , , , , , , , , , , , , , , ,|
|,|, , , ,|,.,., , , , ,.,.,|, , , ,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
