 , , , , , , ,.,., , , , , , , 
 , , , , , , ,.,., , , , , , , 
 , , , , , , ,.,., , , , , , , 
 , , , , , , ,.,., , , , , , , 
 , , , , , , ,.,., , , , , , , 
 , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , 
.,.,.,.,., , ,|,|, , ,.,.,.,.,.
.,.,.,.,., , ,|,|, , ,.,.,.,.,.
 , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , 
 , , , , , , ,.,., , , , , , , 
 , , , , , , ,.,., , , , , , , 
 , , , , , , ,.,., , , , , , , 
 , , , , , , ,.,., , , , , , , 
 , , , , , , ,.,., , , , , , , 
