|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,.,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,.,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,.,.,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,.,.,.,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,.,.,.,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|, ,.,.,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,., , ,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|, , ,.,|,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|, , , , ,|,|,|,|,|,|,|,|,|,|,|,|,|,|, , , , ,|,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|, , , , ,|,|,|,|,|,|,|,|,|,|,|,|,|,|, , , , ,|,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|, , , , , ,|,|,|,|,|,|,|,|,|,|,|,|, , , , , ,|,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|, , , , ,|,|,|,|,|,|,|,|,|,|,|,|, , , , ,|,|,|,|,|
|,|,|,|,|, , ,|,|,|,|,|,|,|,|,|,|,|,|,|, , , , ,|,|, , , , , , ,|,|,|, , , , ,|,|,|,|,|,|
|,|,|,|, , , , ,|,|,|,|,|,|,|,|,|,|,|,|,|, ,., , , , , , , , , , , , , , , ,|,|,|,|,|,|,|
|,|,|,|, , , , , ,|,|,|,|,|,|,|,|,|,|,|,|,|, , , , , , , , , , , , , , , ,|,|,|,|,|,|,|,|
|,|,|, , , , , , , ,|,|,|,|,|,|,|,|,|,|,|, ,., , , , , , , , ,.,., , , ,|,|,|,|,|,|,|,|,|
|,|, , , , , , , , , ,|,|,|,|,|,|,|,|,|,|,.,.,., , , , , , ,.,.,.,., , , ,|,|,|,|,|,|,|,|
|,|, , , , , , , , , , ,|,|,|,|,|,|,|,|, ,.,.,., , , , , , ,.,.,.,., , , ,|,|,|,|,|,|,|,|
|, , , , , , , , , , , , ,|,|,|,|,|,|,|, , ,., , ,., , , , , ,.,., , , , , ,|,|,|,|,|,|,|
|, , , , , , , , , , , , ,|,|,|,|,|,|,|,., , , , , , , , , , , , , ,.,., , ,|,|,|,|,|,|,|
|, , , , , , , , , , , , , ,|,|,|,|,|,|,., , , ,.,.,.,.,., , , , ,.,.,.,., ,|,|,|,|,|,|,|
|,|,|, , , , , , , , , , , , ,|,|,|,|,|,., , , , ,.,.,., , , , , ,.,.,.,., ,|,|,|,|,|,|,|
|,|,|,|,|, , , , , , , , , , , ,|,|,|,|,|, , , , ,.,.,., , , , , ,.,.,.,., ,|,|,|,|,|,|,|
