 , ,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|, , 
 , ,:,.,.,.,.,.,.,.,.,.,.,.,.,.,.,:, , 
 , ,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|, , 
 , ,:,.,., , , , , , , , , , ,.,.,:, , 
 , ,|,.,., , , , , , , , , , ,.,.,|, , 
 , ,:,.,., , , , , , , , , , ,.,.,:, , 
 , ,|,.,., , , , , , , , , , ,.,.,|, , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , ,|,.,., , , , , , , , , , ,.,.,|, , 
 , ,:,.,., , , , , , , , , , ,.,.,:, , 
 , ,|,.,., , , , , , , , , , ,.,.,|, , 
 , ,:,.,., , , , , , , , , , ,.,.,:, , 
 , ,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|, , 
 , ,:,.,.,.,.,.,.,.,.,.,.,.,.,.,.,:, , 
 , ,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|, , 
